STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2010,,27.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2011,,26.6,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2012,,25.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2013,,25.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2014,,23.2,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2015,,22.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2016,,22.1,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2017,,21.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2018,,21.1,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2019,,20.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2020,,20.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2021,,20.0,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2022,,19.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2023,,19.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2024,,18.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BA,Bosnia and Herzegovina,2021,,28.8,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BA,Bosnia and Herzegovina,2022,,28.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BA,Bosnia and Herzegovina,2023,,27.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1992,,50.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1993,,50.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1994,,48.8,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1995,,47.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1996,,45.2,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1997,,44.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1998,,44.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1999,,43.5,,d,definition differs (see metadata),,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2000,,41.8,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2001,,41.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2002,,40.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2003,,39.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2004,,37.6,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2005,,35.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2006,,35.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2007,,34.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2008,,33.0,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2009,,31.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2010,,31.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2011,,30.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2012,,30.1,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2013,,29.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2014,,28.1,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2015,,27.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2016,,27.1,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2017,,26.0,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2018,,25.1,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2019,,24.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2020,,23.2,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2021,,21.2,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2022,,20.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2023,,21.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2024,,21.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2000,,35.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2001,,32.7,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2002,,32.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2003,,33.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2004,,33.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2005,,32.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2006,,30.2,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2007,,28.2,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2008,,28.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2009,,27.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2010,,25.0,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2011,,23.9,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2012,,22.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2013,,21.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2014,,22.0,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2015,,21.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2016,,21.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2017,,21.0,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2018,,20.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2019,,21.0,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2020,,20.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2021,,20.2,,b,break in time series,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2022,,19.4,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2023,,18.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2024,,16.9,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",CH,Switzerland,1996,,26.6,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",CH,Switzerland,1997,,26.5,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",CH,Switzerland,1998,,30.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",CH,Switzerland,1999,,29.3,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",CH,Switzerland,2000,,28.7,,,,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),"Population by educational attainment level, sex and age (%) - main indicators",A,Annual,F,Females,Y15-64,From 15 to 64 years,PC,Percentage,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",CH,Switzerland,2001,,28.3,,,,,
