STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2005,,40.6,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2006,,43.5,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2007,,46.2,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2008,,45.5,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2009,,44.1,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2010,,44.3,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2011,,44.6,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2012,,44.5,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2013,,43.9,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2014,,44.3,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2015,,44.1,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2016,,43.8,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2017,,43.4,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2018,,44.5,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2019,,43.9,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2020,,43.3,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2021,,42.8,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2022,,42.5,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2023,,44.3,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2024,,44.9,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BA,Bosnia and Herzegovina,2021,,11.2,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BA,Bosnia and Herzegovina,2022,,9.4,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BA,Bosnia and Herzegovina,2023,,10.1,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BA,Bosnia and Herzegovina,2024,,11.0,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1992,,28.4,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1993,,27.3,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1994,,27.3,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1995,,27.2,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1996,,26.7,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1997,,26.5,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1998,,27.7,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,1999,,29.9,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2000,,31.0,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2001,,29.3,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2002,,28.9,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2003,,30.0,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2004,,31.0,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2005,,29.8,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2006,,30.1,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2007,,31.1,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2008,,31.0,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2009,,30.1,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2010,,30.8,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2011,,30.0,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2012,,29.8,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2013,,29.9,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2014,,30.1,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2015,,29.4,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2016,,29.5,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2017,,28.5,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2018,,29.0,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2019,,28.9,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2020,,27.2,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2021,,26.6,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2022,,27.8,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2023,,28.2,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2024,,28.7,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2000,,24.4,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2001,,22.7,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2002,,23.6,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2003,,22.5,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2004,,25.4,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2005,,24.0,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2006,,23.6,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2007,,25.7,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2008,,27.2,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2009,,26.4,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2010,,24.8,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2011,,23.2,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2012,,23.6,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2013,,23.7,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2014,,24.8,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2015,,24.2,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2016,,23.4,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2017,,26.2,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2018,,27.4,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2019,,30.6,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2020,,27.6,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2021,,26.8,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2022,,30.5,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2023,,28.7,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2024,,25.1,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",CH,Switzerland,1996,,55.4,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",CH,Switzerland,1997,,55.7,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",CH,Switzerland,1998,,57.6,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",CH,Switzerland,1999,,58.2,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",CH,Switzerland,2000,,55.2,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",CH,Switzerland,2001,,58.8,,,,,
dataflow,ESTAT:LFSA_ERGAED(1.0),"Employment rates by sex, age and educational attainment level (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",CH,Switzerland,2002,,59.0,,,,,
