STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,citizen,Country of citizenship,age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2005,,21.3,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2006,,22.7,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2007,,22.9,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2008,,22.7,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2009,,21.7,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2010,,21.7,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2011,,23.1,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2012,,23.5,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2013,,23.0,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2014,,28.8,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2015,,29.1,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2016,,29.8,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2017,,28.9,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2018,,28.2,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2019,,28.9,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2020,,27.7,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2021,,27.6,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2022,,27.8,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2023,,26.3,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,AT,Austria,2024,,26.9,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BA,Bosnia and Herzegovina,2021,,24.1,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BA,Bosnia and Herzegovina,2022,,22.0,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BA,Bosnia and Herzegovina,2023,,21.1,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BA,Bosnia and Herzegovina,2024,,21.0,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,1995,,21.8,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,1996,,22.0,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,1997,,21.4,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,1998,,21.5,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,1999,,20.7,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2000,,21.9,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2001,,20.7,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2002,,23.2,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2003,,22.8,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2004,,21.6,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2005,,22.1,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2006,,22.1,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2007,,22.0,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2008,,22.8,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2009,,22.7,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2010,,22.3,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2011,,22.0,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2012,,21.5,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2013,,20.9,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2014,,19.9,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2015,,19.4,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2016,,19.6,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2017,,20.3,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2018,,20.6,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2019,,20.1,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2020,,20.1,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2021,,21.7,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2022,,22.7,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2023,,22.2,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BE,Belgium,2024,,20.1,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2000,,15.4,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2001,,16.1,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2002,,16.8,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2003,,18.4,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2004,,19.2,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2005,,18.7,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2006,,21.0,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2007,,20.2,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2008,,20.2,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2009,,20.4,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2010,,21.0,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2011,,23.0,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2012,,24.0,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2013,,23.7,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2014,,23.5,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2015,,23.4,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2016,,22.3,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2017,,23.6,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2018,,23.6,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2019,,22.6,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2020,,21.6,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2021,,20.4,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2022,,21.2,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2023,,21.5,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,BG,Bulgaria,2024,,20.9,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,1996,,23.1,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,1997,,23.0,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,1998,,21.3,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,1999,,21.0,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2000,,20.6,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2001,,20.5,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2002,,21.1,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2003,,19.9,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2004,,21.0,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2005,,19.8,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2006,,19.8,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2007,,20.1,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2008,,20.6,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2009,,20.0,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2010,,20.9,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2011,,21.9,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2012,,21.3,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2013,,21.8,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2014,,22.0,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2015,,21.5,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2016,,20.7,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2017,,21.1,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2018,,20.6,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2019,,19.9,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2020,,19.7,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2021,,18.8,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2022,,17.8,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2023,,18.3,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CH,Switzerland,2024,,17.6,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CY,Cyprus,1999,,32.0,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CY,Cyprus,2000,,31.6,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CY,Cyprus,2001,,31.4,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CY,Cyprus,2002,,31.7,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CY,Cyprus,2003,,31.6,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CY,Cyprus,2004,,32.2,,,,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CY,Cyprus,2005,,31.4,,b,break in time series,,
dataflow,ESTAT:LFSA_EOQGAN(1.0),Over-qualification rates by citizenship,A,Annual,TOTAL,Total,Y15-64,From 15 to 64 years,T,Total,PC,Percentage,CY,Cyprus,2006,,31.9,,,,,
